投资方所在城市,融资方所在城市,阵营,投资企业对数,经度,纬度
北京,上海,1,2485,121.404084553,31.0844617511
上海,北京,1,2234,116.409349256,40.1841180253
北京,深圳,1,2115,113.981097454,22.6612174267
北京,天津,1,1372,117.332394543,39.3085542563
上海,苏州,1,785,120.64180324,31.3759706021
上海,杭州,1,775,119.484701009,29.9049798065
上海,宁波,1,691,121.462283516,29.7195882339
北京,成都,1,681,103.501067544,30.5086877776
深圳,广州,1,644,113.535309762,23.3572458759
北京,武汉,1,495,114.338092289,30.6256542221
北京,嘉兴,1,457,120.753919978,30.654868568
上海,南京,1,435,118.842463658,31.9287592963
北京,郑州,1,393,113.471850802,34.6263627848
北京,济南,1,309,117.08325858,36.7325316169
北京,西安,1,308,108.789503511,34.1107819802
上海,无锡,1,307,120.351629529,31.6615440474
武汉,宜昌,0,299,111.136025443,30.7482684559
北京,石家庄,1,296,114.44284612,38.1289585008
杭州,湖州,0,295,119.871227322,30.74619674
北京,拉萨,1,291,91.1028799309,30.0334521208
北京,青岛,1,291,120.143935648,36.456032729
上海,南通,1,288,120.996756876,32.1893721211
北京,长沙,1,272,113.152959363,28.2295131059
深圳,东莞,1,260,113.877717876,22.9852478082
北京,廊坊,1,252,116.535844506,39.1117554763
北京,沈阳,1,242,123.136692183,42.093659482
杭州,绍兴,0,226,120.628874142,29.7126723592
北京,哈尔滨,1,221,127.962992428,45.6369913133
北京,重庆,1,220,107.864385258,30.0553736852
北京,合肥,1,216,117.286266302,31.9771580754
武汉,襄阳,0,188,111.93766036,31.9344507749
北京,太原,1,184,112.314062259,37.9595409573
深圳,新余,1,176,114.851202951,27.8472307759
北京,厦门,1,174,118.110687591,24.6830448658
北京,临汾,1,167,111.374331297,36.2353877293
深圳,惠州,1,161,114.497757221,23.2450284889
广州,珠海,0,153,113.251442783,22.1619886251
北京,乌鲁木齐,1,153,87.8094631006,43.5313046469
上海,常州,1,150,119.679057019,31.6925543935
北京,长春,1,143,125.766739888,44.3768728237
北京,大连,1,142,122.219575666,39.6124317573
北京,保定,1,138,115.168613586,39.0222939691
北京,福州,1,131,119.156889973,26.0641963059
上海,镇江,1,129,119.481985492,32.0667749698
北京,昆明,1,125,102.875102299,25.3852977816
北京,呼和浩特,1,122,111.399370918,40.5810079565
上海,温州,1,121,120.010122334,27.6625993395
上海,南昌,1,120,116.024443256,28.6633621609
杭州,金华,0,119,119.954268808,29.1164535388
北京,张家口,1,118,115.02997891,40.8611481583
北京,唐山,1,116,118.340532724,39.7358857445
上海,烟台,1,115,120.805459739,37.2364773878
广州,佛山,0,114,112.94508169,23.0127749858
杭州,舟山,0,113,122.13917249,30.0553941995
北京,银川,1,110,106.341244948,38.2192835973
北京,伊犁哈萨克自治州,1,107,,
深圳,九江,1,104,115.437787326,29.3279801382
北京,海口,1,100,110.425851879,19.8310955934
上海,芜湖,1,98,118.326617536,31.0667366723
北京,南宁,1,96,108.464015667,23.0584134307
厦门,泉州,0,94,118.255654583,25.211170451
北京,达州,1,89,107.64272373,31.3639402446
上海,泰州,1,86,120.05755184,32.295852384
北京,贵阳,1,86,106.707306335,26.8429934259
厦门,漳州,0,82,117.441200797,24.3831962252
上海,盐城,1,82,120.175286224,33.5153555609
武汉,黄冈,0,82,115.34896726,30.7182656835
乌鲁木齐,昌吉回族自治州,0,82,,
北京,沧州,1,81,116.752696412,38.2657656361
银川,吴忠,0,79,107.056492602,37.6284503763
北京,潍坊,1,72,119.075691601,36.536594451
西安,咸阳,0,71,108.4494129,34.8272305748
北京,包头,1,71,110.218042216,41.6418500189
北京,开封,1,70,114.534456752,34.6086381576
北京,兰州,1,69,103.638543494,36.3489055767
郑州,新乡,0,68,114.092211697,35.2670772631
西安,榆林,0,66,109.553991328,38.0379812098
北京,晋城,1,65,112.705075962,35.6106981578
杭州,衢州,0,63,118.677516799,28.9340789716
郑州,洛阳,0,62,112.02422841,34.2862770095
杭州,台州,0,62,121.089649417,28.7920082915
南宁,桂林,0,57,110.511766561,25.3519452869
北京,威海,1,57,121.982230785,37.1191305819
深圳,中山,1,57,113.389491138,22.5221140275
太原,晋中,0,57,112.961855815,37.3279302446
武汉,荆州,0,56,112.655927602,29.8484798317
北京,鄂尔多斯,1,54,108.618593771,39.4092533576
南宁,柳州,0,54,109.379696501,24.9370611389
成都,眉山,0,54,103.641301199,30.0619304809
北京,承德,1,53,117.551042014,41.340428396
长沙,常德,0,53,111.523850854,29.2974406323
北京,秦皇岛,1,51,119.183889469,40.0884882838
成都,绵阳,0,48,104.705358137,31.8468625936
成都,德阳,0,47,104.430667514,31.1339756257
南京,淮安,0,47,118.961844937,33.3561516982
北京,鹰潭,1,47,117.10685019,28.2253820103
南京,宿迁,0,47,118.518044118,33.7845818342
长沙,岳阳,0,46,113.255373328,29.06454046
北京,邯郸,1,45,114.54555308,36.5509236328
石家庄,邢台,0,44,114.819197893,37.2116829999
上海,扬州,1,44,119.471409838,32.7375896346
北京,济宁,1,43,116.67539172,35.3785473334
哈尔滨,齐齐哈尔,0,42,124.533878694,47.6967626516
武汉,黄石,0,41,115.022554449,29.9281364887
上海,徐州,1,40,117.480705662,34.2587766939
武汉,孝感,0,40,113.879115408,31.1191958665
北京,赤峰,1,40,118.904959124,43.1947341885
西安,渭南,0,40,109.856936314,34.9518234916
郑州,焦作,0,39,113.117443123,35.1061306585
南宁,河池,0,39,107.840098932,24.6445183862
北京,凉山彝族自治州,1,38,,
哈尔滨,佳木斯,0,38,132.200214943,47.255087237
太原,吕梁,0,37,111.262529043,37.6767890314
合肥,阜阳,0,37,115.701807911,32.9158627496
太原,运城,0,36,111.086591024,35.1949340498
武汉,十堰,0,36,110.44027763,32.4581748245
成都,乐山,0,36,103.532404151,29.1782825258
银川,石嘴山,0,36,106.517788673,38.9755007252
南宁,防城港,0,35,108.002509665,21.8822387144
深圳,赣州,1,35,115.270276386,25.7067696556
郑州,南阳,0,35,112.286515719,33.0462533589
济南,聊城,0,35,115.881984089,36.4580882571
深圳,清远,1,35,112.875910188,24.3114647761
长春,吉林,0,35,126.841290435,43.5774601864
武汉,鄂州,0,34,114.805508857,30.44902039
成都,内江,0,34,104.907948563,29.6411079391
西安,汉中,0,34,107.104140807,33.0889083557
西安,宝鸡,0,34,107.201963817,34.3783133934
武汉,咸宁,0,34,114.174914704,29.6259158262
太原,大同,0,34,113.719411,39.9017848222
乌鲁木齐,阿勒泰地区,0,33,,
济南,临沂,0,33,118.279789444,35.3092645187
福州,三明,0,33,117.397600532,26.2993359511
南宁,百色,0,33,107.035772771,23.6614884391
合肥,滁州,0,32,118.098885241,32.5449846607
合肥,安庆,0,32,116.594268791,30.6106751261
北京,三亚,1,32,109.417993438,18.3920682395
长沙,益阳,0,32,111.808649049,28.3334333691
成都,自贡,0,32,104.961213664,29.2217954232
哈尔滨,绥化,0,32,126.616087847,46.890019373
长沙,湘潭,0,32,112.530368577,27.7049103307
北京,衡水,1,31,115.852176753,37.6362650134
长沙,株洲,0,31,113.519552948,27.1163929922
西安,延安,0,31,109.320505828,36.4376585567
南宁,玉林,0,31,110.182564447,22.4428700016
北京,淄博,1,31,118.010500338,36.5914699701
深圳,汕尾,1,30,115.532047982,23.015488473
深圳,萍乡,1,30,113.900285648,27.5155162634
乌鲁木齐,哈密地区,0,30,,
北京,德州,1,29,116.64541331,37.244336402
郑州,信阳,0,29,114.883648525,32.0816602932
太原,忻州,0,29,112.43027139,38.6914375116
郑州,商丘,0,29,115.699500504,34.2909714488
昆明,大理白族自治州,0,28,,
呼和浩特,乌兰察布,0,28,112.459882056,41.6808643781
南昌,上饶,0,27,117.9497646,28.7600838811
福州,南平,0,27,118.143817602,27.3394707962
长沙,郴州,0,27,113.134839925,25.8116998935
乌鲁木齐,塔城地区,0,27,,
武汉,平凉,0,26,107.22848716,35.2044904905
武汉,恩施土家族苗族自治州,0,26,,
杭州,丽水,0,26,119.510527575,28.1982961548
上海,马鞍山,1,26,118.613763467,31.5323778572
合肥,六安,0,26,116.312145694,31.7560590375
长沙,怀化,0,26,110.069225757,27.5427297621
郑州,周口,0,26,114.878292807,33.724344276
郑州,平顶山,0,26,113.014207438,33.7968717013
长沙,永州,0,25,111.769541227,25.6908733976
福州,宁德,0,25,119.525337183,27.1525886371
合肥,亳州,0,25,116.182133908,33.4325380314
北京,巴彦淖尔,1,25,107.564661657,41.5878397003
北京,滨州,1,25,117.864583632,37.575764401
济南,菏泽,0,25,115.689680141,35.1533992642
成都,巴中,0,25,107.038188833,32.0155969603
上海,蚌埠,1,24,117.327663746,33.1119871271
乌鲁木齐,喀什地区,0,24,,
长沙,衡阳,0,24,112.573420211,26.7925301314
成都,宜宾,0,23,104.635831189,28.5712774941
成都,广安,0,23,106.663515367,30.4249383604
济南,泰安,0,23,117.035710843,36.0009861365
郑州,许昌,0,23,113.709213472,34.0727649921
昆明,楚雄彝族自治州,0,22,,
昆明,红河哈尼族彝族自治州,0,22,,
北京,酒泉,1,22,96.2255513305,40.4581809561
昆明,曲靖,0,22,103.93895161,25.7013209994
西安,安康,0,22,108.92965593,32.7573978184
南昌,宜春,0,21,115.061146398,28.5700976185
成都,雅安,0,21,102.661567069,29.9136424572
武汉,荆门,0,21,112.609230363,31.0710770674
太原,长治,0,21,112.916015096,36.4761566955
贵阳,遵义,0,20,107.086352088,28.1676619107
南宁,崇左,0,20,107.275593841,22.5025039596
武汉,文山壮族苗族自治州,0,20,,
郑州,鹤壁,0,20,114.354192817,35.6449079221
深圳,吉安,1,20,114.822849138,26.9730002281
合肥,宿州,0,20,117.212164673,33.859664667
广州,江门,0,20,112.667787985,22.2980836353
福州,莆田,0,19,118.879674516,25.4571400714
长春,松原,0,19,124.475153872,44.8001982261
上海,宣城,1,19,118.856128319,30.690931106
武汉,定西,0,19,104.450809433,35.1188717502
昆明,丽江,0,18,100.524832949,26.9419138638
北京,东营,1,18,118.615798406,37.6303322383
南宁,钦州,0,18,109.024507902,22.1833012192
银川,中卫,0,18,105.706395331,36.5693450516
昆明,昭通,0,18,103.998145486,27.6525864948
哈尔滨,黑河,0,18,126.996351701,49.2530986124
成都,广元,0,17,105.77965861,32.2606905652
成都,阿坝藏族羌族自治州,0,17,,
北京,驻马店,1,17,114.148797271,32.9243766426
北京,锡林郭勒盟,1,17,,
成都,资阳,0,17,104.953340591,30.1802755486
南宁,贵港,0,17,109.998175606,23.3100315884
北京,丹东,1,16,124.406588969,40.5485906661
北京,锦州,1,16,122.1276071,41.7056938843
北京,安阳,1,16,114.636913626,35.4832428865
营口,鞍山,0,16,123.311254248,40.4244897423
长春,延边朝鲜族自治州,0,16,,
济南,莱芜,0,16,117.651838532,36.2867074983
成都,遂宁,0,15,105.470484465,30.6311127344
乌鲁木齐,阿克苏地区,0,15,,
南京,连云港,0,15,119.131887634,34.5329086065
合肥,池州,0,15,117.366095049,30.2838388703
深圳,河源,1,15,114.957578127,24.041916141
昆明,玉溪,0,15,102.678676868,24.2272276938
广州,肇庆,0,15,112.202555079,23.5397260823
成都,泸州,0,15,105.462113801,28.5508654308
长沙,邵阳,0,15,110.915650898,26.8726168321
银川,固原,0,14,106.182674483,35.9493871692
深圳,梅州,1,14,116.07866931,24.2018151873
成都,南充,0,14,106.20434408,31.1959423625
合肥,淮南,0,13,116.733045967,32.7568698018
长春,四平,0,13,124.473024459,43.5691446169
广州,韶关,0,13,113.772863358,24.8175018307
昆明,临沧,0,13,99.6334364438,23.8219398519
上海,黄山,1,13,118.077165369,29.9060894539
南昌,抚州,0,13,116.433348614,27.5092972994
北京,牡丹江,1,12,129.889484361,44.5926621777
潍坊,枣庄,0,12,117.310288282,35.0325600892
长沙,娄底,0,12,111.208381843,27.8588837544
武汉,白银,0,12,105.025181453,36.2452049344
成都,攀枝花,0,12,101.731413397,26.8061938317
武汉,随州,0,11,113.424642017,31.829691489
广州,汕头,0,11,116.555530272,23.330681385
沈阳,铁岭,0,11,124.172161855,42.6409023987
北京,克拉玛依,1,11,85.2440883636,45.6067831345
西宁,海西蒙古族藏族自治州,0,11,,
贵阳,毕节,0,11,105.210244633,27.0684334498
贵阳,毕节,0,11,105.210244633,27.0684334498
北京,通辽,1,11,121.577319554,43.8189888688
北京,盘锦,1,11,121.99780925,41.082524232
贵阳,黔南布依族苗族自治州,0,11,,
成都,甘孜藏族自治州,0,10,,
长春,白山,0,10,127.285610012,42.0676635125
北京,西宁,1,10,101.451113542,36.8142937624
长沙,湘西土家族苗族自治州,0,10,,
郑州,三门峡,0,10,110.760616888,34.2297321142
乌鲁木齐,巴音郭楞蒙古自治州,0,10,,
合肥,淮北,0,9,116.694557639,33.7492103836
北京,大庆,1,9,124.317028033,46.527882805
上海,云浮,1,9,111.791609466,22.8645994249
南宁,梧州,0,9,110.97337166,23.2002931144
南宁,北海,0,9,109.335612571,21.6793992485
青岛,日照,0,9,119.134088275,35.5841759127
大连,营口,0,9,122.487313407,40.3597557385
哈尔滨,双鸭山,0,9,132.144828937,46.3072456498
乌鲁木齐,博尔塔拉蒙古自治州,0,8,,
南昌,景德镇,0,8,117.269337981,29.3071248951
昆明,德宏傣族景颇族自治州,0,8,,
太原,朔州,0,8,112.731072685,39.4515425822
北京,铜仁,1,8,108.544584764,27.9687206563
北京,铜仁,1,8,108.544584764,27.9687206563
广州,阳江,0,8,111.774204951,22.0383015818
厦门,龙岩,0,8,116.739194013,25.2920661556
鞍山,辽阳,0,7,123.411641921,41.1253950951
深圳,湛江,1,7,110.303801914,20.4640326399
长春,白城,0,7,123.010020734,45.3426110899
北京,白城,1,7,123.010020734,45.3426110899
深圳,铜陵,1,7,117.89438707,30.9448598202
呼和浩特,呼伦贝尔,0,7,121.178173784,49.6519523509
北京,呼伦贝尔,1,7,121.178173784,49.6519523509
北京,阿拉善盟,1,7,102.484793321,40.4997342418
哈尔滨,鹤岗,0,6,130.31505392,47.7601194496
哈尔滨,鸡西,0,6,132.302426461,45.5431717643
乌鲁木齐,和田地区,0,6,,
南宁,贺州,0,6,111.360036634,24.3588162268
昆明,保山,0,6,98.9725729865,24.9790540142
南宁,来宾,0,5,109.427327974,23.6420750123
兰州,金昌,0,5,102.050096504,38.4269271785
兰州,天水,0,5,105.740149962,34.6504716072
武汉,天水,0,5,105.740149962,34.6504716072
深圳,抚顺,1,5,124.653898593,41.8327974774
沈阳,抚顺,0,5,124.653898593,41.8327974774
喀什地区,克孜勒苏柯尔克孜自治州,0,5,,
西宁,海东地区,0,5,,
沈阳,阜新,0,5,121.959474454,42.2856981048
沈阳,朝阳,0,5,120.009996791,41.5103736995
沈阳,本溪,0,5,124.077613678,41.1907857988
沈阳,葫芦岛,0,5,120.192864003,40.6261741141
郑州,漯河,0,5,113.902628459,33.6568181728
酒泉,张掖,0,5,99.90171985,38.9235853398
郑州,濮阳,0,5,115.186179744,35.818149697
长沙,张家界,0,4,110.5299907,29.3920468287
深圳,张家界,1,4,110.5299907,29.3920468287
北京,黔东南苗族侗族自治州,1,4,,
北京,海南藏族自治州,1,4,,
上海,三沙,1,4,,
阿拉善盟,乌海,0,4,106.882873414,39.5669625568
北京,乌海,1,4,106.882873414,39.5669625568
呼和浩特,乌海,0,4,106.882873414,39.5669625568
贵阳,安顺,0,4,105.951365814,25.9956824501
长春,辽源,0,4,125.304836751,42.8097338625
北京,六盘水,1,4,104.651762927,25.8547514439
海南藏族自治州,临夏回族自治州,0,4,,
海西蒙古族藏族自治州,玉树藏族自治州,0,4,,
海西蒙古族藏族自治州,兴安盟,0,4,121.38567335,46.2157994401
太原,阳泉,0,4,113.501902518,38.0619533743
深圳,揭阳,1,4,116.116729307,23.3375364966
昆明,西双版纳傣族自治州,0,4,,
珠海,那曲地区,0,4,,
佛山,茂名,0,3,110.952666315,22.0152368131
宁波,茂名,0,3,110.952666315,22.0152368131
深圳,茂名,1,3,110.952666315,22.0152368131
广州,茂名,0,3,110.952666315,22.0152368131
上海,普洱,1,3,100.718373036,23.1859171903
兰州,武威,0,3,103.051345519,38.1690833868
兰州,甘南藏族自治州,0,3,,
兰州,铜川,0,3,109.175338575,35.2981214087
北京,庆阳,1,3,107.594395318,36.1647995305
兰州,庆阳,0,3,107.594395318,36.1647995305
长春,通化,0,3,125.948225432,41.9508001253
